,Year,Luminosity (pb-1),error,Pl < 0,error.1,Pl > 0,error.2,Pz < 0,error.3,Pz > 0,error.4
0,1996,12.6,1.0,,,0.514,0.017,-0.759,0.042,0.759,0.042
1,1997,37.3,3.2,-0.531,0.018,0.497,0.017,-0.85,0.032,0.85,0.032
