,Experiment,t (GeV2),xB,Q2 (GeV2),AUL_sinφ,stat. error,syst. error,AUL_sin(2φ),stat. error.1,syst. error.1
0,HERMES,0.12,0.1,2.46,-0.073,0.032,0.007,-0.106,0.032,0.008
1,CLAN,0.31,0.28,1.82,-0.252,0.042,0.02,-0.022,0.045,0.021
