,x,Q2,t,phi,value,stat_u,syst_u,col,obsv,units,target,beam,energy (GeV)
636,0.185,1.63,0.2,187.53,0.2606,0.0348,0.03,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
637,0.185,1.63,0.2,202.6,0.2588,0.0306,0.0201,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
638,0.185,1.63,0.2,217.67,0.3185,0.0328,0.0316,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
639,0.185,1.63,0.2,232.74,0.3805,0.0426,0.0263,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
640,0.185,1.63,0.2,247.81,0.4863,0.0476,0.0324,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
641,0.185,1.63,0.2,262.88,0.5579,0.0425,0.0454,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
642,0.185,1.63,0.2,277.96,0.7526,0.0515,0.0563,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
643,0.185,1.63,0.2,292.95,1.1869,0.0735,0.1079,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
644,0.185,1.63,0.2,305.97,1.4957,0.0974,0.1252,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
645,0.185,1.63,0.2,317.1,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
646,0.185,1.63,0.2,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
647,0.185,1.63,0.2,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
648,0.185,1.63,0.26,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
649,0.185,1.63,0.26,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
650,0.185,1.63,0.26,43.19,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
651,0.185,1.63,0.26,53.76,1.2772,0.0697,0.0863,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
652,0.185,1.63,0.26,66.9,0.8127,0.0498,0.085,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
653,0.185,1.63,0.26,82.01,0.4741,0.0362,0.0598,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
654,0.185,1.63,0.26,97.1,0.3527,0.0272,0.0256,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
655,0.185,1.63,0.26,112.18,0.2737,0.0252,0.0228,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
656,0.185,1.63,0.26,127.25,0.2639,0.0287,0.0277,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
657,0.185,1.63,0.26,142.32,0.1949,0.0232,0.025,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
658,0.185,1.63,0.26,157.4,0.215,0.022,0.0215,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
659,0.185,1.63,0.26,172.47,0.183,0.0228,0.0197,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
660,0.185,1.63,0.26,187.53,0.1491,0.0221,0.0378,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
661,0.185,1.63,0.26,202.6,0.2133,0.0237,0.0284,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
662,0.185,1.63,0.26,217.68,0.1949,0.0208,0.0221,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
663,0.185,1.63,0.26,232.75,0.2512,0.0264,0.033,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
664,0.185,1.63,0.26,247.82,0.2468,0.0272,0.0182,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
665,0.185,1.63,0.26,262.9,0.348,0.028,0.0246,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
666,0.185,1.63,0.26,277.99,0.403,0.0298,0.0408,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
667,0.185,1.63,0.26,293.1,0.6733,0.0462,0.0878,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
668,0.185,1.63,0.26,306.24,1.1279,0.0703,0.0836,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
669,0.185,1.63,0.26,316.81,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
670,0.185,1.63,0.26,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
671,0.185,1.63,0.26,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
672,0.185,1.63,0.34,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
673,0.185,1.63,0.34,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
674,0.185,1.63,0.34,43.39,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
675,0.185,1.63,0.34,53.05,0.7683,0.0425,0.0653,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
676,0.185,1.63,0.34,66.88,0.3719,0.0281,0.0243,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
677,0.185,1.63,0.34,81.99,0.3068,0.0254,0.0207,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
678,0.185,1.63,0.34,97.09,0.2205,0.0196,0.0179,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
679,0.185,1.63,0.34,112.17,0.1387,0.0151,0.0097,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
680,0.185,1.63,0.34,127.25,0.1466,0.0183,0.0104,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
681,0.185,1.63,0.34,142.32,0.0884,0.013,0.009,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
682,0.185,1.63,0.34,157.39,0.1179,0.0141,0.0167,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
683,0.185,1.63,0.34,172.46,0.12,0.0155,0.0166,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
684,0.185,1.63,0.34,187.54,0.0933,0.015,0.0136,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
685,0.185,1.63,0.34,202.61,0.0957,0.0137,0.0101,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
686,0.185,1.63,0.34,217.68,0.1164,0.0135,0.0098,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
687,0.185,1.63,0.34,232.75,0.1393,0.0171,0.0138,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
688,0.185,1.63,0.34,247.83,0.1679,0.0199,0.0124,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
689,0.185,1.63,0.34,262.91,0.165,0.0168,0.0149,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
690,0.185,1.63,0.34,278.01,0.3074,0.0227,0.0271,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
691,0.185,1.63,0.34,293.12,0.4551,0.0329,0.0447,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
692,0.185,1.63,0.34,306.95,0.6423,0.0432,0.0613,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
693,0.185,1.63,0.34,316.61,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
694,0.185,1.63,0.34,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
695,0.185,1.63,0.34,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
696,0.185,1.63,0.45,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
697,0.185,1.63,0.45,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
698,0.185,1.63,0.45,42.57,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
699,0.185,1.63,0.45,51.94,0.3802,0.0211,0.0249,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
700,0.185,1.63,0.45,66.86,0.2752,0.0203,0.0279,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
701,0.185,1.63,0.45,81.98,0.1494,0.0148,0.027,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
702,0.185,1.63,0.45,97.08,0.1338,0.0124,0.0142,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
703,0.185,1.63,0.45,112.16,0.0752,0.0091,0.0121,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
704,0.185,1.63,0.45,127.24,0.0834,0.0115,0.0116,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
705,0.185,1.63,0.45,142.32,0.064,0.0101,0.0112,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
706,0.185,1.63,0.45,157.39,0.0554,0.0078,0.0114,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
707,0.185,1.63,0.45,172.47,0.0673,0.0094,0.0063,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
708,0.185,1.63,0.45,187.53,0.0638,0.0111,0.0134,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
709,0.185,1.63,0.45,202.61,0.0639,0.0096,0.0084,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
710,0.185,1.63,0.45,217.68,0.0636,0.0084,0.0062,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
711,0.185,1.63,0.45,232.76,0.06,0.0087,0.0062,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
712,0.185,1.63,0.45,247.84,0.1035,0.0126,0.0104,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
713,0.185,1.63,0.45,262.92,0.0855,0.0099,0.0073,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
714,0.185,1.63,0.45,278.02,0.1542,0.0134,0.0118,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
715,0.185,1.63,0.45,293.14,0.2421,0.019,0.0239,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
716,0.185,1.63,0.45,308.06,0.4066,0.0264,0.04,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
717,0.185,1.63,0.45,317.43,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
718,0.185,1.63,0.45,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
719,0.185,1.63,0.45,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
720,0.214,1.64,0.11,7.48,2.0259,0.1136,0.1318,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
721,0.214,1.64,0.11,22.34,1.7908,0.0871,0.1416,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
722,0.214,1.64,0.11,37.19,1.4193,0.0742,0.1069,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
723,0.214,1.64,0.11,52.16,1.179,0.0768,0.0855,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
724,0.214,1.64,0.11,67.15,0.7101,0.0718,0.0572,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
725,0.214,1.64,0.11,82.16,0.5965,0.0566,0.0533,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
726,0.214,1.64,0.11,97.19,0.5707,0.0473,0.0409,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
727,0.214,1.64,0.11,112.23,0.4512,0.0427,0.0504,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
728,0.214,1.64,0.11,127.27,0.546,0.0621,0.0686,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
729,0.214,1.64,0.11,142.33,0.3385,0.0412,0.0272,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
730,0.214,1.64,0.11,157.39,0.3043,0.036,0.0376,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
731,0.214,1.64,0.11,172.46,0.2427,0.0391,0.0207,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
732,0.214,1.64,0.11,187.54,0.2949,0.0485,0.053,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
733,0.214,1.64,0.11,202.61,0.2527,0.0333,0.0228,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
734,0.214,1.64,0.11,217.67,0.3977,0.0434,0.0279,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
735,0.214,1.64,0.11,232.73,0.4259,0.0533,0.0785,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
736,0.214,1.64,0.11,247.77,0.4539,0.043,0.0664,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
737,0.214,1.64,0.11,262.81,0.5948,0.0481,0.0443,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
738,0.214,1.64,0.11,277.84,0.6068,0.0559,0.0551,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
739,0.214,1.64,0.11,292.85,0.8352,0.0766,0.059,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
740,0.214,1.64,0.11,307.84,1.3076,0.0831,0.159,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
741,0.214,1.64,0.11,322.81,1.6096,0.0818,0.099,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
742,0.214,1.64,0.11,337.66,2.0262,0.0943,0.139,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
743,0.214,1.64,0.11,352.52,1.961,0.111,0.1305,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
744,0.214,1.64,0.15,7.71,1.9968,0.1019,0.1324,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
745,0.214,1.64,0.15,22.63,1.6764,0.0718,0.1573,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
746,0.214,1.64,0.15,37.13,1.2105,0.0545,0.0807,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
747,0.214,1.64,0.15,52.04,0.946,0.0511,0.0673,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
748,0.214,1.64,0.15,67.07,0.6329,0.0524,0.0429,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
749,0.214,1.64,0.15,82.1,0.5589,0.0483,0.0622,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
750,0.214,1.64,0.15,97.15,0.4107,0.0348,0.04,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
751,0.214,1.64,0.15,112.2,0.3,0.0299,0.0206,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
752,0.214,1.64,0.15,127.26,0.2569,0.0311,0.0339,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
753,0.214,1.64,0.15,142.32,0.2389,0.0292,0.0182,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
754,0.214,1.64,0.15,157.39,0.2599,0.027,0.0442,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
755,0.214,1.64,0.15,172.46,0.1589,0.0229,0.0133,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
756,0.214,1.64,0.15,187.54,0.1601,0.0273,0.0373,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
757,0.214,1.64,0.15,202.61,0.1951,0.0232,0.0174,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
758,0.214,1.64,0.15,217.68,0.1924,0.0226,0.0344,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
759,0.214,1.64,0.15,232.74,0.2721,0.0333,0.0563,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
760,0.214,1.64,0.15,247.8,0.2935,0.0327,0.0234,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
761,0.214,1.64,0.15,262.85,0.3542,0.0315,0.0437,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
762,0.214,1.64,0.15,277.9,0.4838,0.0401,0.0304,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
763,0.214,1.64,0.15,292.93,0.7229,0.0573,0.0616,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
764,0.214,1.64,0.15,307.96,0.9416,0.0593,0.0791,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
765,0.214,1.64,0.15,322.87,1.2317,0.0571,0.0878,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
766,0.214,1.64,0.15,337.37,1.7289,0.0703,0.1251,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
767,0.214,1.64,0.15,352.29,2.1553,0.1017,0.1625,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
768,0.214,1.64,0.2,8.26,2.0263,0.1644,0.1559,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
769,0.214,1.64,0.2,23.48,1.7346,0.0912,0.1679,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
770,0.214,1.64,0.2,37.27,1.0673,0.0512,0.0756,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
771,0.214,1.64,0.2,51.94,0.7463,0.0432,0.0507,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
772,0.214,1.64,0.2,66.99,0.4562,0.0409,0.0497,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
773,0.214,1.64,0.2,82.05,0.356,0.0361,0.045,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
774,0.214,1.64,0.2,97.12,0.251,0.0262,0.0276,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
775,0.214,1.64,0.2,112.18,0.2218,0.0241,0.0188,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
776,0.214,1.64,0.2,127.25,0.1546,0.0239,0.0154,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
777,0.214,1.64,0.2,142.32,0.1522,0.0245,0.0345,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
778,0.214,1.64,0.2,157.39,0.1248,0.0182,0.0195,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
779,0.214,1.64,0.2,172.46,0.1746,0.0252,0.0232,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
780,0.214,1.64,0.2,187.54,0.1159,0.0233,0.0167,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
781,0.214,1.64,0.2,202.61,0.1466,0.0209,0.0343,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
782,0.214,1.64,0.2,217.68,0.1171,0.018,0.0083,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
783,0.214,1.64,0.2,232.75,0.2102,0.0301,0.0219,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
784,0.214,1.64,0.2,247.82,0.19,0.026,0.0169,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
785,0.214,1.64,0.2,262.88,0.2235,0.0246,0.0246,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
786,0.214,1.64,0.2,277.95,0.3535,0.0313,0.0305,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
787,0.214,1.64,0.2,293.01,0.5191,0.0439,0.0748,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
788,0.214,1.64,0.2,308.06,0.7353,0.0515,0.0875,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
789,0.214,1.64,0.2,322.73,1.1043,0.0543,0.0824,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
790,0.214,1.64,0.2,336.52,1.7522,0.0843,0.166,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
791,0.214,1.64,0.2,351.74,2.8289,0.1702,0.2304,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
792,0.214,1.64,0.26,10.82,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
793,0.214,1.64,0.26,25.19,1.8274,0.1274,0.1754,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
794,0.214,1.64,0.26,37.58,0.8814,0.0422,0.0542,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
795,0.214,1.64,0.26,51.84,0.533,0.0303,0.0373,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
796,0.214,1.64,0.26,66.93,0.3295,0.0275,0.0424,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
797,0.214,1.64,0.26,82.01,0.2213,0.0234,0.0189,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
798,0.214,1.64,0.26,97.09,0.1959,0.0188,0.0254,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
799,0.214,1.64,0.26,112.16,0.1617,0.017,0.0216,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
800,0.214,1.64,0.26,127.24,0.1043,0.0164,0.0164,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
801,0.214,1.64,0.26,142.31,0.0851,0.0165,0.0106,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
802,0.214,1.64,0.26,157.39,0.0813,0.0149,0.0071,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
803,0.214,1.64,0.26,172.46,0.0882,0.0176,0.0097,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
804,0.214,1.64,0.26,187.54,0.1008,0.0227,0.0225,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
805,0.214,1.64,0.26,202.61,0.0678,0.0139,0.0133,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
806,0.214,1.64,0.26,217.69,0.1168,0.017,0.0125,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
807,0.214,1.64,0.26,232.76,0.0879,0.0153,0.0136,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
808,0.214,1.64,0.26,247.84,0.1397,0.0189,0.0166,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
809,0.214,1.64,0.26,262.91,0.1744,0.0174,0.0161,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
810,0.214,1.64,0.26,277.99,0.2087,0.0187,0.0171,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
811,0.214,1.64,0.26,293.07,0.3302,0.0289,0.0422,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
812,0.214,1.64,0.26,308.16,0.4817,0.0352,0.042,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
813,0.214,1.64,0.26,322.42,0.7951,0.0408,0.0613,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
814,0.214,1.64,0.26,334.81,1.4601,0.0938,0.2132,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
815,0.214,1.64,0.26,349.18,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
816,0.214,1.64,0.34,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
817,0.214,1.64,0.34,27.62,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
