,t (GeV2),xB,Q2 (GeV2),value,stat_u,syst_u,col,obs,units,target,beam,rs
0,0.1,0.05,1.5,0.137,0.178,0.007,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
1,0.1,0.08,2.2,−0.046,0.208,0.005,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
2,0.13,0.12,3.1,−0.064,0.227,0.007,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
3,0.2,0.2,5.0,0.24,0.299,0.02,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
