,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
0,-0.4,-0.33,15,68.1636,19.0093,9.5191,21.7036,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
1,-0.4,-0.33,45,31.2501,5.98883,4.34178,5.86889,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
2,-0.4,-0.33,75,14.2648,3.29185,1.61093,1.83487,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
3,-0.4,-0.33,105,12.4727,2.80066,0.817896,0.988449,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
4,-0.4,-0.33,135,9.62566,2.09563,1.08953,1.4741,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
5,-0.4,-0.33,165,14.6469,2.6047,2.0109,2.11549,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
6,-0.4,-0.33,195,12.3742,2.55037,2.86675,2.15583,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
7,-0.4,-0.33,225,10.7854,2.63707,1.22311,0.938545,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
8,-0.4,-0.33,255,13.4148,2.76369,1.95531,2.38076,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
9,-0.4,-0.33,285,21.3326,3.90204,1.59028,1.72436,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
10,-0.4,-0.33,315,48.3065,7.72156,4.90248,7.28611,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
11,-0.4,-0.33,345,45.5709,15.7992,6.84131,17.1951,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
12,-0.32,-0.26,15,41.4419,11.9545,8.59576,12.6468,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
13,-0.32,-0.26,45,47.4992,7.91683,9.28477,10.3216,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
14,-0.32,-0.26,75,34.9927,5.18727,9.18119,9.24031,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
15,-0.32,-0.26,105,17.1767,3.5956,3.08339,3.37048,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
16,-0.32,-0.26,135,13.7172,3.58729,2.93011,2.77524,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
17,-0.32,-0.26,165,16.0506,3.70057,5.61028,5.23438,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
18,-0.32,-0.26,195,13.1925,3.4992,4.56939,4.02189,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
19,-0.32,-0.26,225,22.8442,4.34911,4.80797,4.90278,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
20,-0.32,-0.26,255,23.0447,4.40571,3.63621,3.85263,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
21,-0.32,-0.26,285,34.9138,5.00536,9.39325,9.32406,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
22,-0.32,-0.26,315,47.4808,8.13302,11.3832,12.1992,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
23,-0.32,-0.26,345,92.6194,18.4906,14.8286,24.0143,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
24,-0.25,-0.2,15,76.1038,19.084,24.4868,17.6779,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
25,-0.25,-0.2,45,59.2178,9.61466,13.7281,11.8959,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
26,-0.25,-0.2,75,29.9204,4.3817,8.91831,8.58588,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
27,-0.25,-0.2,105,25.5005,4.15173,5.24278,5.28131,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
28,-0.25,-0.2,135,23.2834,4.40583,2.82672,2.25981,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
29,-0.25,-0.2,165,21.6616,5.03911,4.74815,5.83736,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
30,-0.25,-0.2,195,17.417,4.03795,3.56239,4.23779,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
31,-0.25,-0.2,225,16.8865,4.00752,2.73255,2.22869,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
32,-0.25,-0.2,255,21.6699,4.07949,5.07473,5.02758,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
33,-0.25,-0.2,285,39.5594,5.11741,11.1025,11.1655,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
34,-0.25,-0.2,315,50.1708,8.86738,12.1782,10.5784,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
35,-0.25,-0.2,345,61.2817,15.1354,19.1691,13.6921,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
36,-0.18,-0.15,15,95.1959,19.7572,41.6956,43.5123,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
37,-0.18,-0.15,45,81.504,13.5705,18.6001,17.5813,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
38,-0.18,-0.15,75,37.4591,6.04899,26.4403,25.862,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
39,-0.18,-0.15,105,46.6197,7.15621,21.0445,21.2997,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
40,-0.18,-0.15,135,24.2993,7.26293,20.8952,20.9499,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
41,-0.18,-0.15,165,19.7802,7.36517,31.8602,31.5374,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
