,x_B,Q^2,t,phi,value,stat_u,syst_u (upper limit),syst_u (lower limit),col,obs,units,target,beam,RS
41,0.363,3.17,-0.13,262.5,-0.00463,0.0011,0.0003,-0.00057,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
42,0.363,3.17,-0.13,277.5,-0.00364,0.0012,0.00015,-0.0007,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
43,0.363,3.17,-0.13,292.5,-0.00564,0.0014,0.00045,-0.00057,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
44,0.363,3.17,-0.13,307.5,-0.00814,0.0015,0.00056,-0.00086,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
45,0.363,3.17,-0.13,322.5,-0.00535,0.0017,0.00054,-0.00021,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
46,0.363,3.17,-0.13,337.5,-0.0054,0.0018,0.00045,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
47,0.363,3.17,-0.13,352.5,0.000308,0.0019,0.00033,-0.001,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
48,0.365,3.18,-0.216,7.5,0.00095,0.003,0.00021,-0.0013,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
49,0.365,3.18,-0.216,22.5,0.00235,0.0024,0.00044,-0.0013,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
50,0.365,3.18,-0.216,37.5,0.00469,0.0018,0.00093,-0.00023,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
51,0.365,3.18,-0.216,52.5,0.00586,0.0014,0.00035,-0.00064,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
52,0.365,3.18,-0.216,67.5,0.00379,0.0012,0.00048,-0.00043,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
53,0.365,3.18,-0.216,82.5,0.00352,0.001,0.00058,-0.00013,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
