,hQ^{2} i,hx_{B} i,h−ti,hφi,A_{LU}
0,(GeV2),,(GeV2),(degree),
1,,,,24,0.133 ± 0.109 ± 0.026
2,,,,61,0.321 ± 0.093 ± 0.019
3,,,,99,0.371 ± 0.103 ± 0.040
4,,,,141,0.245 ± 0.152 ± 0.027
5,1.14,0.136,0.096,178,0.023 ± 0.163 ± 0.028
6,,,,219,-0.053 ± 0.148 ± 0.025
7,,,,263,-0.264 ± 0.120 ± 0.039
8,,,,302,-0.176 ± 0.097 ± 0.026
9,,,,338,-0.279 ± 0.105 ± 0.034
10,,,,21,0.192 ± 0.089 ± 0.027
11,,,,57,0.282 ± 0.087 ± 0.025
12,,,,97,0.486 ± 0.129 ± 0.043
13,,,,140,0.100 ± 0.168 ± 0.025
14,1.42,0.172,0.099,180,0.146 ± 0.191 ± 0.030
15,,,,219,-0.111 ± 0.185 ± 0.034
16,,,,263,-0.352 ± 0.137 ± 0.037
17,,,,302,-0.414 ± 0.084 ± 0.038
18,,,,338,-0.279 ± 0.084 ± 0.026
19,1.90,0.224,0.107,21.4,0.180 ± 0.081 ± 0.023
20,,,,57.2,0.350 ± 0.082 ± 0.019
21,,,,96.2,0.270 ± 0.123 ± 0.017
22,,,,139.5,0.305 ± 0.239 ± 0.017
23,,,,178.2,0.103 ± 0.267 ± 0.013
24,,,,221.4,-0.212 ± 0.215 ± 0.015
25,,,,263.3,-0.306 ± 0.131 ± 0.026
26,,,,303.3,-0.138 ± 0.094 ± 0.021
27,,,,,-0.163 ± 0.079 ± 0.016
