,t,Q2,W,value,stat_u,syst_u,col,obs,units,target,beam,rs
0,0.1,8,82,13.3,1.9,3.4,H1,dsigma/dt,nb/GeV2,proton,e+,318.698688330
1,0.3,8,82,3.99,0.57,0.69,H1,dsigma/dt,nb/GeV2,proton,e+,318.698688330
2,0.5,8,82,0.9,0.25,0.3,H1,dsigma/dt,nb/GeV2,proton,e+,318.698688330
3,0.8,8,82,0.36,0.09,0.14,H1,dsigma/dt,nb/GeV2,proton,e+,318.698688330
