,hQ^{2} i,hx_{B} i,h−ti,hφi,A_{LU}
0,(GeV2),,(GeV2),(degree),
1,,,,22,0.120 ± 0.037 ± 0.014
2,,,,61,0.027 ± 0.042 ± 0.019
3,,,,96,0.219 ± 0.041 ± 0.018
4,,,,142,0.150 ± 0.054 ± 0.026
5,1.84,0.215,0.135,180,0.008 ± 0.067 ± 0.015
6,,,,221,-0.119 ± 0.065 ± 0.018
7,,,,260,-0.204 ± 0.043 ± 0.020
8,,,,303,-0.160 ± 0.037 ± 0.014
9,,,,338,-0.049 ± 0.047 ± 0.010
10,,,,21,0.036 ± 0.040 ± 0.013
11,,,,61,0.093 ± 0.045 ± 0.013
12,,,,96,0.149 ± 0.051 ± 0.034
13,,,,139,0.111 ± 0.073 ± 0.018
14,2.15,0.257,0.281,183,0.105 ± 0.093 ± 0.030
15,,,,223,-0.074 ± 0.076 ± 0.018
16,,,,259,-0.091 ± 0.055 ± 0.025
17,,,,302,-0.200 ± 0.039 ± 0.025
18,,,,338,-0.104 ± 0.047 ± 0.017
19,,,,21,0.111 ± 0.037 ± 0.015
20,,,,60,0.154 ± 0.045 ± 0.018
21,,,,94,0.096 ± 0.060 ± 0.015
22,,,,138,-0.107 ± 0.105 ± 0.017
23,2.37,0.291,0.492,183,0.248 ± 0.119 ± 0.039
24,,,,224,-0.069 ± 0.110 ± 0.013
25,,,,261,-0.190 ± 0.062 ± 0.023
26,,,,303,-0.174 ± 0.036 ± 0.016
27,,,,338,-0.067 ± 0.047 ± 0.018
28,2.45,0.312,1.089,20,0.032 ± 0.030 ± 0.018
29,,,,57,0.091 ± 0.058 ± 0.011
30,,,,91,0.163 ± 0.112 ± 0.011
31,,,,131,0.042 ± 0.307 ± 0.018
32,,,,175,-0.936 ± 0.397 ± 0.018
33,,,,231,-1.189 ± 0.517 ± 0.015
34,,,,264,-0.072 ± 0.109 ± 0.017
35,,,,305,-0.119 ± 0.048 ± 0.013
36,,,,341,-0.044 ± 0.036 ± 0.016
