,t (GeV2),xB,Q2 (GeV2),value,stat_u,syst_u,col,obs,units,target,beam,rs
0,0.03,0.08,1.9,−0.062,0.169,0.003,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
1,0.1,0.1,2.5,0.358,0.201,0.012,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
2,0.2,0.11,2.9,−0.074,0.224,0.006,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
3,0.42,0.12,3.5,−0.255,0.36,0.02,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
