,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,A_{LL}^{cos(0φ)},,0.122 ± 0.044 ± 0.004,,0.001,0.003,0.003
1,A_{LL}^{cos φ},,-0.047 ± 0.062 ± 0.029,,0.002,0.003,0.028
2,A_{LL}^{cos(2φ)},,0.067 ± 0.062 ± 0.007,,0.004,0.003,0.004
