phi(deg),x,Q2(GeV2),t(GeV2),value,stat_u,syst_u,syst_ub
22.5,0.381,1.999,0.371,1.1,12.0,3.6,1.4
37.5,0.381,1.999,0.371,4.1,7.5,4.0,0.0
52.5,0.381,1.999,0.371,7.3,5.8,4.4,0.2
67.5,0.381,1.999,0.371,9.9,4.9,1.1,1.1
82.5,0.381,1.999,0.371,10.8,3.8,0.0,1.4
97.5,0.381,1.999,0.371,4.7,3.5,1.4,0.3
112.5,0.381,1.999,0.371,10.5,3.2,1.5,1.2
127.5,0.381,1.999,0.371,2.1,2.9,2.4,0.0
142.5,0.381,1.999,0.371,3.7,2.8,0.0,3.6
157.5,0.381,1.999,0.371,0.1,3.1,0.0,1.6
172.5,0.381,1.999,0.371,-7.0,3.8,2.6,0.0
187.5,0.381,1.999,0.371,2.5,3.7,2.7,0.0
202.5,0.381,1.999,0.371,0.6,3.4,0.0,1.3
217.5,0.381,1.999,0.371,0.4,3.1,1.6,0.0
232.5,0.381,1.999,0.371,-4.4,2.7,1.9,0.9
247.5,0.381,1.999,0.371,0.4,3.1,0.0,2.5
262.5,0.381,1.999,0.371,-2.5,3.2,2.2,0.7
277.5,0.381,1.999,0.371,-6.1,3.6,0.0,2.1
292.5,0.381,1.999,0.371,-1.6,4.4,1.2,1.1
307.5,0.381,1.999,0.371,-7.1,5.4,1.6,1.9
322.5,0.381,1.999,0.371,-7.9,7.6,1.1,3.5
337.5,0.381,1.999,0.371,-1.2,10.9,1.7,15.4
352.5,0.381,1.999,0.371,-5.1,16.7,13.3,0.0
