,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
0,-0.4,-0.33,15,70.9629,17.0029,7.02283,9.08917,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
1,-0.4,-0.33,45,45.5565,6.86998,3.79652,3.2396,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
2,-0.4,-0.33,75,17.1743,3.87195,1.61906,1.87649,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
3,-0.4,-0.33,105,14.1605,3.0534,0.627012,0.637993,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
4,-0.4,-0.33,135,11.604,2.35913,1.11864,1.69433,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
5,-0.4,-0.33,165,16.8742,2.69798,2.03627,1.9968,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
6,-0.4,-0.33,195,14.3718,2.73893,3.19154,2.19766,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
7,-0.4,-0.33,225,11.7642,2.75433,1.17523,0.897961,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
8,-0.4,-0.33,255,15.0949,2.96524,2.0778,2.49506,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
9,-0.4,-0.33,285,24.1856,4.27932,1.11595,1.19669,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
10,-0.4,-0.33,315,58.2993,7.36637,2.49375,2.63507,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
11,-0.4,-0.33,345,60.5965,17.8711,4.95973,3.70799,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
12,-0.32,-0.26,15,69.1874,11.5555,3.20759,3.25073,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
13,-0.32,-0.26,45,57.6999,7.17256,3.50501,4.86894,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
14,-0.32,-0.26,75,40.8689,5.11087,3.06247,3.59989,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
15,-0.32,-0.26,105,20.8834,3.48933,1.48804,1.85285,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
16,-0.32,-0.26,135,14.3295,3.21833,1.57787,1.56805,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
