,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
17,-0.32,-0.26,165,16.8937,3.03596,3.54827,3.51349,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
18,-0.32,-0.26,195,14.2504,3.13448,2.76871,2.31902,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
19,-0.32,-0.26,225,24.8335,3.2196,2.2233,3.01109,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
20,-0.32,-0.26,255,25.3663,3.88991,1.30475,1.35197,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
21,-0.32,-0.26,285,42.495,4.9688,2.59091,2.69336,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
22,-0.32,-0.26,315,71.6377,7.27875,4.65626,4.61697,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
23,-0.32,-0.26,345,106.518,12.4253,8.41249,16.5295,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
24,-0.25,-0.2,15,131.898,9.93054,5.35912,6.30706,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
25,-0.25,-0.2,45,84.5292,7.36511,7.32322,7.72058,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
26,-0.25,-0.2,75,46.0521,5.29364,5.33765,3.50466,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
27,-0.25,-0.2,105,38.9977,4.19023,3.81929,4.23742,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
28,-0.25,-0.2,135,34.0489,3.62538,3.42514,1.6693,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
29,-0.25,-0.2,165,39.1669,3.37835,2.12395,3.22995,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
30,-0.25,-0.2,195,28.9002,3.47289,1.79263,1.77474,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
31,-0.25,-0.2,225,31.8573,3.97864,4.33268,2.41397,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
32,-0.25,-0.2,255,41.2856,4.56368,2.65143,3.08407,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
33,-0.25,-0.2,285,61.1396,5.61452,3.19509,3.0427,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
34,-0.25,-0.2,315,78.4989,7.31671,4.55541,6.07819,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
35,-0.25,-0.2,345,102.42,9.04303,5.71175,4.43029,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
36,-0.18,-0.15,15,96.608,7.36477,19.3485,20.1008,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
37,-0.18,-0.15,45,83.7037,8.09463,5.25446,6.84058,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
38,-0.18,-0.15,75,55.3633,6.1556,9.08714,9.06402,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
39,-0.18,-0.15,105,64.0195,5.4194,2.77639,4.3968,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
40,-0.18,-0.15,135,54.9382,4.95272,14.8045,15.8508,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
41,-0.18,-0.15,165,49.1394,4.94194,16.3182,16.8978,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
42,-0.18,-0.15,195,58.1926,4.842,19.0602,19.4063,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
43,-0.18,-0.15,225,57.0722,5.17992,17.3708,17.2563,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
44,-0.18,-0.15,255,69.672,5.50287,3.54107,3.62079,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
45,-0.18,-0.15,285,85.7826,6.63371,16.8891,16.8488,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
46,-0.18,-0.15,315,78.6553,7.24423,6.34433,6.42977,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
47,-0.18,-0.15,345,78.755,7.33995,19.4573,19.2307,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,4.45
48,-0.4,-0.33,15,32.9153,8.57737,1.41004,4.15832,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
49,-0.4,-0.33,45,31.4501,4.5324,1.28681,2.1046,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
50,-0.4,-0.33,75,19.4891,3.11144,0.941806,2.10597,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
51,-0.4,-0.33,105,9.3834,3.00604,2.04058,1.32051,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
52,-0.4,-0.33,135,4.0486,2.49338,1.73694,1.20879,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
53,-0.4,-0.33,165,12.2927,3.43436,1.69436,1.73425,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
54,-0.4,-0.33,195,15.294,3.46039,2.41201,2.1604,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
55,-0.4,-0.33,225,10.9587,2.52501,0.970239,2.06729,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
56,-0.4,-0.33,255,18.623,3.22163,1.34282,3.70274,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
57,-0.4,-0.33,285,24.8896,3.67602,1.56213,1.51839,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
58,-0.4,-0.33,315,25.4284,4.70315,2.16503,0.966563,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
59,-0.4,-0.33,345,26.6849,7.25167,1.56094,3.46277,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
60,-0.32,-0.26,15,32.5332,6.24804,2.9921,3.2164,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
61,-0.32,-0.26,45,27.0298,4.74527,2.27658,2.60826,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
62,-0.32,-0.26,75,15.2624,3.8258,0.926208,1.76512,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
63,-0.32,-0.26,105,17.8163,3.33872,1.37279,1.18365,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
64,-0.32,-0.26,135,11.1559,3.34275,1.62055,1.65661,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
65,-0.32,-0.26,165,19.3528,2.95516,3.01325,3.22673,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
66,-0.32,-0.26,195,10.6206,2.99776,2.95328,1.59868,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
67,-0.32,-0.26,225,13.1619,3.03837,1.5115,1.55159,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
68,-0.32,-0.26,255,10.5456,3.35047,0.654224,2.20012,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
69,-0.32,-0.26,285,33.0369,4.34379,3.53439,3.81486,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
70,-0.32,-0.26,315,33.7627,4.83283,2.85151,2.43863,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
71,-0.32,-0.26,345,43.347,6.07699,2.92917,4.61974,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
72,-0.25,-0.2,15,45.9864,5.81942,3.69763,5.5779,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
73,-0.25,-0.2,45,32.6465,5.08536,2.76206,2.69283,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
74,-0.25,-0.2,75,26.8611,4.15736,1.77246,3.67806,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
75,-0.25,-0.2,105,26.0014,3.6467,1.27149,2.24824,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
76,-0.25,-0.2,135,12.7347,3.30469,1.63085,1.64063,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
77,-0.25,-0.2,165,31.1807,3.51737,1.5214,2.22202,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
78,-0.25,-0.2,195,18.5123,3.25388,1.7798,1.69608,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
79,-0.25,-0.2,225,26.7138,3.7338,2.51634,3.32266,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
80,-0.25,-0.2,255,34.6354,3.83465,2.13183,3.83441,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
81,-0.25,-0.2,285,24.2413,4.47346,1.57585,3.48078,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
82,-0.25,-0.2,315,36.4337,4.92493,3.15067,2.91742,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
83,-0.25,-0.2,345,32.1744,5.59491,2.12038,2.58452,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
84,-0.18,-0.15,15,43.8921,5.37396,6.14356,6.37509,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
85,-0.18,-0.15,45,34.362,4.87966,5.61247,5.4643,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
86,-0.18,-0.15,75,35.9203,4.77436,7.2734,7.34026,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
87,-0.18,-0.15,105,40.8739,4.27996,4.72636,4.80799,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
88,-0.18,-0.15,135,35.3603,4.38962,2.22518,2.72727,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
89,-0.18,-0.15,165,28.7848,4.44913,5.63963,5.55219,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
90,-0.18,-0.15,195,39.4961,4.3616,7.59704,8.57577,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
91,-0.18,-0.15,225,40.0514,4.45814,2.97565,3.1195,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
92,-0.18,-0.15,255,43.8983,4.7425,4.85817,4.7281,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
93,-0.18,-0.15,285,26.2348,4.98704,6.22927,6.18876,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
94,-0.18,-0.15,315,34.7278,4.94424,5.51967,5.72551,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
95,-0.18,-0.15,345,38.2209,5.05569,6.02108,5.30886,Jlab,d^4sigma_n+r*d^4sigma_d,GeV^(-4),neutron/deuteron,e+/e-,5.55
