,t (GeV2),xB,Q2 (GeV2),value,stat_u,syst_u,col,obs,units,target,beam,rs
0,0.08,0.06,1.2,0.221,0.217,0.006,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
1,0.1,0.08,1.9,−0.150,0.201,0.006,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
2,0.13,0.11,2.8,−0.006,0.212,0.004,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
3,0.19,0.17,4.9,0.138,0.232,0.012,HERMES,"A_(LT,I)^(cos(phi-phis)cos(2phi))",absolute,proton,e+/e-,
