,φ (deg),Column1,"x_{B} =0.345
Q^{2} =2.218GeV^{2}
t =-0.176GeV^{2}",_1,"x_{B} =0.363
Q^{2} =2.318GeV^{2}
t =-0.232GeV^{2}",_2,"x_{B} =0.368
Q^{2} =2.348GeV^{2}
t =-0.279GeV^{2}",_3,"x_{B} =0.371
Q^{2} =2.360GeV^{2}
t =-0.325GeV^{2}",_4,"x_{B} =0.373
Q^{2} =2.375GeV^{2}
t =-0.372GeV^{2}"
0,7.5,,"+0.0 5.2 ± 5.1
–5.4",,"+0.2 7.4 ± 4.9
–1.8",,"+3.9 11.5 ± 5.9
–0.1",,"+2.9 1.7 ± 7.3
–0.0",,"+2.0 9.4 ± 10.9
–2.5"
1,22.5,,"+3.6 1.8 ± 5.1
–0.0",,"+0.9 15.4 ± 4.6
–1.3",,"+1.6 8.6 ± 5.3
–0.4",,"+0.0 4.4 ± 6.2
–4.3",,"+4.6 6.4 ± 8.2
–1.9"
2,37.5,,"+1.5 8.0 ± 4.7
–0.7",,"+1.8 8.3 ± 4.1
–0.0",,"+0.0 15.4 ± 4.2
–1.9",,"+0.0 1.9 ± 4.4
–5.3",,"+0.0 10.0 ± 5.3
–3.6"
3,52.5,,"+5.7 16.7 ± 4.5
–0.1",,"+1.5 11.5 ± 3.6
–1.5",,"+1.5 10.5 ± 3.6
–0.2",,"+0.0 9.6 ± 3.8
–2.3",,"+1.6 21.8 ± 4.3
–0.4"
4,67.5,,"+6.0 21.1 ± 4.1
–0.0",,"+3.7 17.1 ± 3.2
–0.0",,"+1.2 16.7 ± 3.2
–0.0",,"+0.0 15.0 ± 3.4
–1.4",,"+0.0 6.2 ± 3.3
–3.5"
5,82.5,,"+2.1 16.0 ± 4.0
–0.1",,"+1.6 6.6 ± 2.9
–0.0",,"+2.4 11.9 ± 2.8
–0.4",,"+1.7 9.3 ± 2.6
–0.2",,"+1.0 9.3 ± 2.7
–0.5"
6,97.5,,"+1.9 10.1 ± 3.5
–0.1",,"+0.0 12.3 ± 2.7
–0.7",,"+1.4 9.8 ± 2.4
–0.0",,"+1.3 9.9 ± 2.4
–0.0",,"+0.1 9.0 ± 2.4
–1.8"
7,112.5,,"+0.1 20.7 ± 3.4
–1.8",,"+0.1 11.6 ± 2.4
–1.3",,"+0.0 8.0 ± 2.2
–0.9",,"+0.5 3.7 ± 2.2
–0.3",,"+1.6 -1.1 ± 2.0
–0.0"
8,127.5,,"+0.9 9.3 ± 3.2
–1.9",,"+0.7 6.4 ± 2.3
–1.4",,"+0.7 3.5 ± 1.9
–1.0",,"+0.4 6.6 ± 2.0
–0.0",,"+0.1 1.6 ± 1.8
–0.4"
9,142.5,,"+1.0 4.8 ± 3.1
–0.1",,"+0.6 5.5 ± 2.1
–0.2",,"+1.6 3.7 ± 2.0
–0.0",,"+0.0 3.6 ± 1.9
–1.5",,"+0.9 3.2 ± 1.8
–0.0"
10,157.5,,"+1.4 -0.4 ± 3.0
–0.0",,"+0.9 2.7 ± 2.2
–0.1",,"+0.3 4.0 ± 2.0
–0.5",,"+0.8 5.5 ± 1.8
–0.2",,"+0.7 3.6 ± 1.9
–0.0"
11,172.5,,"+2.9 3.3 ± 3.0
–0.2",,"+1.5 0.0 ± 2.0
–0.0",,"+0.7 -0.3 ± 2.0
–0.1",,"+0.1 2.7 ± 1.9
–0.9",,"+1.1 2.1 ± 2.0
–0.2"
12,187.5,,"+0.6 -0.6 ± 2.8
–1.4",,"+1.2 0.2 ± 2.1
–0.2",,"+0.0 1.0 ± 1.9
–1.2",,"+0.4 -0.6 ± 1.9
–0.5",,"+0.0 4.4 ± 2.0
–1.0"
13,202.5,,"+0.9 -2.6 ± 2.9
–2.0",,"+0.4 -0.7 ± 2.1
–0.7",,"+0.0 -1.8 ± 1.8
–0.5",,"+1.1 -4.2 ± 2.0
–0.0",,"+0.0 -0.1 ± 2.0
–2.5"
14,217.5,,"+1.1 -7.5 ± 3.0
–0.0",,"+0.2 -5.4 ± 2.2
–0.5",,"+1.3 -5.1 ± 2.0
–0.0",,"+0.4 -5.2 ± 1.8
–0.7",,"+0.8 -3.5 ± 1.8
–0.1"
15,232.5,,"+3.3 -13.1 ± 3.2
–0.0",,"+0.5 -4.2 ± 2.3
–1.2",,"+0.0 -4.7 ± 2.1
–0.8",,"+1.4 -5.2 ± 1.9
–0.0",,"+0.2 -4.0 ± 1.9
–0.7"
16,247.5,,"+1.7 -6.9 ± 3.3
–0.0",,"+0.4 -9.5 ± 2.4
–0.7",,"+0.9 -3.8 ± 2.1
–0.0",,"+0.9 0.6 ± 2.1
–0.4",,"+0.6 -1.8 ± 2.1
–1.0"
17,262.5,,"+2.1 -17.5 ± 3.6
–0.0",,"+0.1 -9.0 ± 2.7
–1.4",,"+0.0 -10.5 ± 2.4
–3.0",,"+0.4 -6.8 ± 2.4
–1.7",,"+0.0 -3.4 ± 2.3
–1.1"
18,277.5,,"+1.4 -13.0 ± 3.8
–0.7",,"+0.5 -16.0 ± 2.8
–1.2",,"+2.1 -9.8 ± 2.6
–0.0",,"+0.0 -14.2 ± 2.7
–1.5",,"+0.7 -5.8 ± 2.6
–0.3"
19,292.5,,"+2.9 -13.2 ± 4.2
–0.6",,"+0.4 -12.6 ± 3.1
–1.8",,"+1.0 -11.0 ± 2.9
–0.9",,"+0.0 -9.6 ± 3.1
–3.6",,"+0.0 -11.3 ± 3.1
–1.8"
20,307.5,,"+0.4 -16.6 ± 4.3
–2.1",,"+4.4 -14.0 ± 3.5
–0.0",,"+1.7 -15.8 ± 3.5
–0.5",,"+0.7 -10.6 ± 3.6
–0.6",,"+0.4 -8.8 ± 3.7
–0.5"
21,322.5,,"+2.8 -15.2 ± 4.6
–0.0",,"+0.2 -14.0 ± 3.8
–1.5",,"+2.1 -9.4 ± 3.8
–0.0",,"+4.4 -14.2 ± 4.5
–0.0",,"+0.4 -5.2 ± 5.1
–2.6"
22,337.5,,"+0.5 -3.1 ± 4.8
–0.4",,"+1.1 1.4 ± 4.4
–0.8",,"+0.8 -5.0 ± 4.7
–1.7",,"+0.7 -0.5 ± 5.9
–2.6",,"+3.4 -8.1 ± 8.1
–4.3"
23,352.5,,"+1.1 -1.2 ± 4.9
–1.5",,"+4.3 -1.1 ± 4.8
–0.0",,"+0.0 2.7 ± 5.5
–3.8",,"+2.9 -0.5 ± 7.3
–1.5",,"+2.2 7.3 ± 11.5
–1.1"
