,t (GeV2),xB,Q2 (GeV2),"ALU,I_sinφ",stat. error,syst. error,"ALU,DVCS_sinφ",stat. error.1,syst. error.1,"ALU,I_sin(2φ)",stat. error.2,syst. error.2
0,−0.02,0.06,1.47,−0.295,0.073,0.016,0.201,0.072,0.004,0.015,0.071,0.008
1,−0.04,0.06,1.56,−0.158,0.089,0.01,0.019,0.089,0.017,0.056,0.085,0.01
2,−0.08,0.06,1.55,−0.136,0.108,0.022,−0.096,0.107,0.011,−0.081,0.106,0.006
3,−0.14,0.06,1.57,−0.206,0.095,0.027,−0.074,0.095,0.01,0.046,0.093,0.014
4,−0.26,0.06,1.69,−0.362,0.137,0.019,0.28,0.137,0.018,−0.101,0.143,0.015
5,−0.46,0.05,1.78,−0.050,0.234,0.031,−0.161,0.234,0.063,−0.218,0.239,0.052
6,−0.02,0.09,2.32,−0.022,0.129,0.01,−0.177,0.128,0.016,0.095,0.126,0.007
7,−0.04,0.1,2.5,−0.269,0.11,0.011,0.086,0.109,0.013,−0.180,0.105,0.016
8,−0.08,0.1,2.43,−0.254,0.125,0.018,−0.088,0.123,0.021,0.005,0.124,0.007
9,−0.14,0.1,2.51,−0.258,0.107,0.015,0.119,0.106,0.018,0.001,0.106,0.028
10,−0.26,0.1,2.74,−0.106,0.156,0.025,−0.054,0.154,0.019,−0.063,0.155,0.025
11,−0.47,0.1,3.25,−0.062,0.242,0.026,−0.060,0.242,0.026,0.14,0.28,0.045
12,−0.03,0.13,2.91,−0.037,0.368,0.046,−0.271,0.37,0.104,0.514,0.363,0.083
13,−0.05,0.15,3.62,−0.255,0.145,0.042,0.238,0.145,0.027,−0.073,0.15,0.048
14,−0.08,0.16,3.93,−0.223,0.137,0.035,0.059,0.137,0.006,−0.099,0.135,0.008
15,−0.14,0.17,4.3,−0.241,0.109,0.018,0.023,0.108,0.012,−0.208,0.108,0.018
16,−0.26,0.18,4.76,−0.242,0.135,0.039,0.158,0.134,0.018,−0.068,0.13,0.033
17,−0.46,0.19,5.52,−0.284,0.188,0.034,−0.187,0.185,0.028,−0.284,0.175,0.035
