,Q2 ((GeV/c)2),xB,t ((GeV/c)2),α,stat. error,β,stat. error.1,α',stat. error.2,γ,stat. error.3
0,0.19,0.23,1.69,0.228,0.029,−0.034,0.024,0.222,0.026,0.318,0.248
1,0.3,0.23,1.74,0.147,0.055,0.033,0.037,0.161,0.045,−0.223,0.274
2,0.46,0.25,1.83,0.26,0.062,−0.022,0.039,0.26,0.057,0.2,0.331
