,hQ^{2} i,hx_{B} i,h−ti,hφi,A_{LU}
0,(GeV2),,(GeV2),(degree),
1,,,,21,0.094 ± 0.046 ± 0.014
2,,,,63,0.069 ± 0.044 ± 0.017
3,,,,96,0.147 ± 0.044 ± 0.022
4,,,,140,0.102 ± 0.052 ± 0.015
5,1.45,0.163,0.374,181,0.071 ± 0.062 ± 0.024
6,,,,220,-0.045 ± 0.062 ± 0.020
7,,,,259,-0.115 ± 0.043 ± 0.018
8,,,,303,-0.098 ± 0.039 ± 0.015
9,,,,337,0.033 ± 0.057 ± 0.011
10,,,,22,0.002 ± 0.038 ± 0.013
11,,,,60,0.056 ± 0.044 ± 0.016
12,,,,96,0.168 ± 0.050 ± 0.018
13,,,,141,0.142 ± 0.079 ± 0.025
14,1.93,0.225,0.381,182,0.167 ± 0.096 ± 0.017
15,,,,223,-0.262 ± 0.083 ± 0.034
16,,,,260,-0.185 ± 0.052 ± 0.023
17,,,,303,-0.196 ± 0.037 ± 0.021
18,,,,337,-0.041 ± 0.046 ± 0.010
19,,,,21,0.069 ± 0.033 ± 0.020
20,,,,59,0.124 ± 0.046 ± 0.020
21,,,,94,0.165 ± 0.058 ± 0.019
22,,,,139,0.111 ± 0.110 ± 0.024
23,2.33,0.283,0.468,181,-0.194 ± 0.155 ± 0.015
24,,,,225,0.008 ± 0.111 ± 0.014
25,,,,261,-0.242 ± 0.066 ± 0.027
26,,,,303,-0.171 ± 0.038 ± 0.018
27,,,,338,-0.065 ± 0.041 ± 0.010
28,2.98,0.389,0.688,20,0.081 ± 0.029 ± 0.014
29,,,,55,0.121 ± 0.054 ± 0.015
30,,,,93,0.253 ± 0.090 ± 0.031
31,,,,135,-0.230 ± 0.225 ± 0.039
32,,,,180,-0.052 ± 0.425 ± 0.036
33,,,,231,-0.377 ± 0.334 ± 0.047
34,,,,266,-0.093 ± 0.103 ± 0.020
35,,,,303,-0.198 ± 0.045 ± 0.023
36,,,,341,-0.108 ± 0.035 ± 0.016
